"Town","FIPS","Year","Business Type","Measure Type","Variable","Value"
"Essex","0900726270","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",19.3
"Essex","0900726270","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",5.4
"Essex","0900726270","2011-2015","Government","Percent","Employment",8
"Essex","0900726270","2011-2015","Government","Percent","Margins of Error",2.6
"Essex","0900726270","2011-2015","Private, Profit","Percent","Employment",56
"Essex","0900726270","2011-2015","Private, Profit","Percent","Margins of Error",6.4
"Essex","0900726270","2011-2015","Private, Not-for-profit","Percent","Employment",9.8
"Essex","0900726270","2011-2015","Private, Not-for-profit","Percent","Margins of Error",3.5
"Essex","0900726270","2012-2016","Total","Number","Employment",3256
"Essex","0900726270","2012-2016","Total","Number","Margins of Error",308
"Essex","0900726270","2012-2016","Self-Employed, Incorporated","Percent","Employment",7.1
"Essex","0900726270","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",2.9
"Essex","0900726270","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",16.9
"Essex","0900726270","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",5.3
"Essex","0900726270","2012-2016","Government","Percent","Employment",8.6
"Essex","0900726270","2012-2016","Government","Percent","Margins of Error",3.7
"Essex","0900726270","2012-2016","Private, Profit","Percent","Employment",57.1
"Essex","0900726270","2012-2016","Private, Profit","Percent","Margins of Error",6.5
"Essex","0900726270","2012-2016","Private, Not-for-profit","Percent","Employment",10.3
"Essex","0900726270","2012-2016","Private, Not-for-profit","Percent","Margins of Error",3.7
"Fairfield","0900126620","2006-2010","Total","Number","Employment",27216
"Fairfield","0900126620","2006-2010","Total","Number","Margins of Error",637
"Fairfield","0900126620","2006-2010","Self-Employed, Incorporated","Percent","Employment",6.4
"Fairfield","0900126620","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",0.9
"Fairfield","0900126620","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",8.6
"Fairfield","0900126620","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",1
"Fairfield","0900126620","2006-2010","Government","Percent","Employment",12.6
"Fairfield","0900126620","2006-2010","Government","Percent","Margins of Error",1.4
"Fairfield","0900126620","2006-2010","Private, Profit","Percent","Employment",63.8
"Fairfield","0900126620","2006-2010","Private, Profit","Percent","Margins of Error",2
"Fairfield","0900126620","2006-2010","Private, Not-for-profit","Percent","Employment",8.6
"Fairfield","0900126620","2006-2010","Private, Not-for-profit","Percent","Margins of Error",1.1
"Fairfield","0900126620","2007-2011","Total","Number","Employment",27363
"Fairfield","0900126620","2007-2011","Total","Number","Margins of Error",667
"Fairfield","0900126620","2007-2011","Self-Employed, Incorporated","Percent","Employment",6.6
"Fairfield","0900126620","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",0.9
"Fairfield","0900126620","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",8.6
"Fairfield","0900126620","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",1.1
"Fairfield","0900126620","2007-2011","Government","Percent","Employment",12.1
"Fairfield","0900126620","2007-2011","Government","Percent","Margins of Error",1.3
"Fairfield","0900126620","2007-2011","Private, Profit","Percent","Employment",63.8
"Fairfield","0900126620","2007-2011","Private, Profit","Percent","Margins of Error",1.6
"Fairfield","0900126620","2007-2011","Private, Not-for-profit","Percent","Employment",8.9
"Fairfield","0900126620","2007-2011","Private, Not-for-profit","Percent","Margins of Error",0.9
"Fairfield","0900126620","2008-2012","Total","Number","Employment",27699
"Fairfield","0900126620","2008-2012","Total","Number","Margins of Error",618
"Fairfield","0900126620","2008-2012","Self-Employed, Incorporated","Percent","Employment",6.2
"Fairfield","0900126620","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",0.9
"Fairfield","0900126620","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",9.3
"Fairfield","0900126620","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",1.2
"Fairfield","0900126620","2008-2012","Government","Percent","Employment",11.2
"Fairfield","0900126620","2008-2012","Government","Percent","Margins of Error",1.2
"Fairfield","0900126620","2008-2012","Private, Profit","Percent","Employment",64
"Fairfield","0900126620","2008-2012","Private, Profit","Percent","Margins of Error",1.7
"Fairfield","0900126620","2008-2012","Private, Not-for-profit","Percent","Employment",9.3
"Fairfield","0900126620","2008-2012","Private, Not-for-profit","Percent","Margins of Error",1.2
"Fairfield","0900126620","2009-2013","Total","Number","Employment",27257
"Fairfield","0900126620","2009-2013","Total","Number","Margins of Error",569
"Fairfield","0900126620","2009-2013","Self-Employed, Incorporated","Percent","Employment",6.1
"Fairfield","0900126620","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",0.7
"Fairfield","0900126620","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",10
"Fairfield","0900126620","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",1.1
"Fairfield","0900126620","2009-2013","Government","Percent","Employment",10.8
"Fairfield","0900126620","2009-2013","Government","Percent","Margins of Error",1.1
"Fairfield","0900126620","2009-2013","Private, Profit","Percent","Employment",63.8
"Fairfield","0900126620","2009-2013","Private, Profit","Percent","Margins of Error",1.7
"Fairfield","0900126620","2009-2013","Private, Not-for-profit","Percent","Employment",9.4
"Fairfield","0900126620","2009-2013","Private, Not-for-profit","Percent","Margins of Error",1.1
"Fairfield","0900126620","2010-2014","Total","Number","Employment",27814
"Fairfield","0900126620","2010-2014","Total","Number","Margins of Error",622
"Fairfield","0900126620","2010-2014","Self-Employed, Incorporated","Percent","Employment",5.7
"Fairfield","0900126620","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",0.8
"Fairfield","0900126620","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",10.2
"Fairfield","0900126620","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",1
"Fairfield","0900126620","2010-2014","Government","Percent","Employment",10.9
"Fairfield","0900126620","2010-2014","Government","Percent","Margins of Error",1
"Fairfield","0900126620","2010-2014","Private, Profit","Percent","Employment",63.7
"Fairfield","0900126620","2010-2014","Private, Profit","Percent","Margins of Error",1.5
"Fairfield","0900126620","2010-2014","Private, Not-for-profit","Percent","Employment",9.5
"Fairfield","0900126620","2010-2014","Private, Not-for-profit","Percent","Margins of Error",1
"Fairfield","0900126620","2011-2015","Total","Number","Employment",28394
"Fairfield","0900126620","2011-2015","Total","Number","Margins of Error",624
"Fairfield","0900126620","2011-2015","Self-Employed, Incorporated","Percent","Employment",5.9
"Fairfield","0900126620","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",0.7
"Fairfield","0900126620","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",10.5
"Fairfield","0900126620","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",1
"Fairfield","0900126620","2011-2015","Government","Percent","Employment",10.7
"Fairfield","0900126620","2011-2015","Government","Percent","Margins of Error",1
"Fairfield","0900126620","2011-2015","Private, Profit","Percent","Employment",62.8
"Fairfield","0900126620","2011-2015","Private, Profit","Percent","Margins of Error",1.5
"Fairfield","0900126620","2011-2015","Private, Not-for-profit","Percent","Employment",10
"Fairfield","0900126620","2011-2015","Private, Not-for-profit","Percent","Margins of Error",1.1
"Fairfield","0900126620","2012-2016","Total","Number","Employment",28582
"Fairfield","0900126620","2012-2016","Total","Number","Margins of Error",639
"Fairfield","0900126620","2012-2016","Self-Employed, Incorporated","Percent","Employment",6.1
"Fairfield","0900126620","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",0.8
"Fairfield","0900126620","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",10.6
"Fairfield","0900126620","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",1
"Fairfield","0900126620","2012-2016","Government","Percent","Employment",11
"Fairfield","0900126620","2012-2016","Government","Percent","Margins of Error",1.2
"Fairfield","0900126620","2012-2016","Private, Profit","Percent","Employment",62.7
"Fairfield","0900126620","2012-2016","Private, Profit","Percent","Margins of Error",1.5
"Fairfield","0900126620","2012-2016","Private, Not-for-profit","Percent","Employment",9.5
"Fairfield","0900126620","2012-2016","Private, Not-for-profit","Percent","Margins of Error",0.9
"Farmington","0900327600","2006-2010","Total","Number","Employment",13140
"Farmington","0900327600","2006-2010","Total","Number","Margins of Error",461
"Farmington","0900327600","2006-2010","Self-Employed, Incorporated","Percent","Employment",6.8
"Farmington","0900327600","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",1.3
"Farmington","0900327600","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",8.4
"Farmington","0900327600","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",1.9
"Farmington","0900327600","2006-2010","Government","Percent","Employment",16.4
"Farmington","0900327600","2006-2010","Government","Percent","Margins of Error",2.2
"Farmington","0900327600","2006-2010","Private, Profit","Percent","Employment",60.3
"Farmington","0900327600","2006-2010","Private, Profit","Percent","Margins of Error",2.8
"Farmington","0900327600","2006-2010","Private, Not-for-profit","Percent","Employment",8.2
"Farmington","0900327600","2006-2010","Private, Not-for-profit","Percent","Margins of Error",1.6
"Farmington","0900327600","2007-2011","Total","Number","Employment",13207
"Farmington","0900327600","2007-2011","Total","Number","Margins of Error",436
"Farmington","0900327600","2007-2011","Self-Employed, Incorporated","Percent","Employment",7.2
"Farmington","0900327600","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",1.5
"Farmington","0900327600","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",7.8
"Farmington","0900327600","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",1.6
"Farmington","0900327600","2007-2011","Government","Percent","Employment",16.8
"Farmington","0900327600","2007-2011","Government","Percent","Margins of Error",2.3
"Farmington","0900327600","2007-2011","Private, Profit","Percent","Employment",59.7
"Farmington","0900327600","2007-2011","Private, Profit","Percent","Margins of Error",2.5
"Farmington","0900327600","2007-2011","Private, Not-for-profit","Percent","Employment",8.4
"Farmington","0900327600","2007-2011","Private, Not-for-profit","Percent","Margins of Error",1.5
"Farmington","0900327600","2008-2012","Total","Number","Employment",13073
"Farmington","0900327600","2008-2012","Total","Number","Margins of Error",416
"Farmington","0900327600","2008-2012","Self-Employed, Incorporated","Percent","Employment",6.5
"Farmington","0900327600","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",1.6
"Farmington","0900327600","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",7.9
"Farmington","0900327600","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",1.8
"Farmington","0900327600","2008-2012","Government","Percent","Employment",15.6
"Farmington","0900327600","2008-2012","Government","Percent","Margins of Error",2.2
"Farmington","0900327600","2008-2012","Private, Profit","Percent","Employment",62.1
"Farmington","0900327600","2008-2012","Private, Profit","Percent","Margins of Error",3
"Farmington","0900327600","2008-2012","Private, Not-for-profit","Percent","Employment",8
"Farmington","0900327600","2008-2012","Private, Not-for-profit","Percent","Margins of Error",1.6
"Farmington","0900327600","2009-2013","Total","Number","Employment",13069
"Farmington","0900327600","2009-2013","Total","Number","Margins of Error",420
"Farmington","0900327600","2009-2013","Self-Employed, Incorporated","Percent","Employment",6.6
"Farmington","0900327600","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",1.7
"Farmington","0900327600","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",8.1
"Farmington","0900327600","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",1.8
"Farmington","0900327600","2009-2013","Government","Percent","Employment",16.1
"Farmington","0900327600","2009-2013","Government","Percent","Margins of Error",2.5
"Farmington","0900327600","2009-2013","Private, Profit","Percent","Employment",62
"Farmington","0900327600","2009-2013","Private, Profit","Percent","Margins of Error",2.9
"Farmington","0900327600","2009-2013","Private, Not-for-profit","Percent","Employment",7.1
"Farmington","0900327600","2009-2013","Private, Not-for-profit","Percent","Margins of Error",1.2
"Farmington","0900327600","2010-2014","Total","Number","Employment",13289
"Farmington","0900327600","2010-2014","Total","Number","Margins of Error",428
"Farmington","0900327600","2010-2014","Self-Employed, Incorporated","Percent","Employment",5
"Farmington","0900327600","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",1.4
"Farmington","0900327600","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",8
"Farmington","0900327600","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",1.7
"Farmington","0900327600","2010-2014","Government","Percent","Employment",15.9
"Farmington","0900327600","2010-2014","Government","Percent","Margins of Error",2.1
"Farmington","0900327600","2010-2014","Private, Profit","Percent","Employment",63.5
"Farmington","0900327600","2010-2014","Private, Profit","Percent","Margins of Error",2.7
"Farmington","0900327600","2010-2014","Private, Not-for-profit","Percent","Employment",7.6
"Farmington","0900327600","2010-2014","Private, Not-for-profit","Percent","Margins of Error",1.5
"Farmington","0900327600","2011-2015","Total","Number","Employment",13261
"Farmington","0900327600","2011-2015","Total","Number","Margins of Error",388
"Farmington","0900327600","2011-2015","Self-Employed, Incorporated","Percent","Employment",4.2
"Farmington","0900327600","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",1.1
"Farmington","0900327600","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",7.7
"Farmington","0900327600","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",1.7
"Farmington","0900327600","2011-2015","Government","Percent","Employment",14.7
"Farmington","0900327600","2011-2015","Government","Percent","Margins of Error",1.8
"Farmington","0900327600","2011-2015","Private, Profit","Percent","Employment",65.4
"Farmington","0900327600","2011-2015","Private, Profit","Percent","Margins of Error",2.7
"Farmington","0900327600","2011-2015","Private, Not-for-profit","Percent","Employment",8
"Farmington","0900327600","2011-2015","Private, Not-for-profit","Percent","Margins of Error",1.5
"Farmington","0900327600","2012-2016","Total","Number","Employment",13355
"Farmington","0900327600","2012-2016","Total","Number","Margins of Error",495
"Farmington","0900327600","2012-2016","Self-Employed, Incorporated","Percent","Employment",3.7
"Farmington","0900327600","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",1
"Farmington","0900327600","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",7.1
"Farmington","0900327600","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",1.6
"Farmington","0900327600","2012-2016","Government","Percent","Employment",15.8
"Farmington","0900327600","2012-2016","Government","Percent","Margins of Error",1.9
"Farmington","0900327600","2012-2016","Private, Profit","Percent","Employment",64.8
"Farmington","0900327600","2012-2016","Private, Profit","Percent","Margins of Error",2.6
"Farmington","0900327600","2012-2016","Private, Not-for-profit","Percent","Employment",8.6
"Farmington","0900327600","2012-2016","Private, Not-for-profit","Percent","Margins of Error",1.5
"Franklin","0901129910","2006-2010","Total","Number","Employment",991
"Franklin","0901129910","2006-2010","Total","Number","Margins of Error",81
"Franklin","0901129910","2006-2010","Self-Employed, Incorporated","Percent","Employment",6.8
"Franklin","0901129910","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",2.1
"Franklin","0901129910","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",8.2
"Franklin","0901129910","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",2.3
"Franklin","0901129910","2006-2010","Government","Percent","Employment",17.2
"Franklin","0901129910","2006-2010","Government","Percent","Margins of Error",3.3
"Franklin","0901129910","2006-2010","Private, Profit","Percent","Employment",62.9
"Franklin","0901129910","2006-2010","Private, Profit","Percent","Margins of Error",4.3
"Franklin","0901129910","2006-2010","Private, Not-for-profit","Percent","Employment",5
"Franklin","0901129910","2006-2010","Private, Not-for-profit","Percent","Margins of Error",2.3
"Franklin","0901129910","2007-2011","Total","Number","Employment",1038
"Franklin","0901129910","2007-2011","Total","Number","Margins of Error",82
"Franklin","0901129910","2007-2011","Self-Employed, Incorporated","Percent","Employment",6.6
"Franklin","0901129910","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",2.5
"Franklin","0901129910","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",6.5
"Franklin","0901129910","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",1.9
"Franklin","0901129910","2007-2011","Government","Percent","Employment",19.6
"Franklin","0901129910","2007-2011","Government","Percent","Margins of Error",3.7
"Franklin","0901129910","2007-2011","Private, Profit","Percent","Employment",60.9
"Franklin","0901129910","2007-2011","Private, Profit","Percent","Margins of Error",5.2
"Franklin","0901129910","2007-2011","Private, Not-for-profit","Percent","Employment",6.5
"Franklin","0901129910","2007-2011","Private, Not-for-profit","Percent","Margins of Error",2.3
"Franklin","0901129910","2008-2012","Total","Number","Employment",1096
"Franklin","0901129910","2008-2012","Total","Number","Margins of Error",89
"Franklin","0901129910","2008-2012","Self-Employed, Incorporated","Percent","Employment",5.1
"Franklin","0901129910","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",2
"Franklin","0901129910","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",8.1
"Franklin","0901129910","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",2.4
"Franklin","0901129910","2008-2012","Government","Percent","Employment",18.4
"Franklin","0901129910","2008-2012","Government","Percent","Margins of Error",3.8
"Franklin","0901129910","2008-2012","Private, Profit","Percent","Employment",62.4
"Franklin","0901129910","2008-2012","Private, Profit","Percent","Margins of Error",4.4
"Franklin","0901129910","2008-2012","Private, Not-for-profit","Percent","Employment",5.9
"Franklin","0901129910","2008-2012","Private, Not-for-profit","Percent","Margins of Error",2.3
"Franklin","0901129910","2009-2013","Total","Number","Employment",1032
"Franklin","0901129910","2009-2013","Total","Number","Margins of Error",82
"Franklin","0901129910","2009-2013","Self-Employed, Incorporated","Percent","Employment",4.7
"Franklin","0901129910","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",2.2
"Franklin","0901129910","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",8.5
"Franklin","0901129910","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",2.7
"Franklin","0901129910","2009-2013","Government","Percent","Employment",19
"Franklin","0901129910","2009-2013","Government","Percent","Margins of Error",3.7
"Franklin","0901129910","2009-2013","Private, Profit","Percent","Employment",61.3
"Franklin","0901129910","2009-2013","Private, Profit","Percent","Margins of Error",5.2
"Franklin","0901129910","2009-2013","Private, Not-for-profit","Percent","Employment",6.5
"Franklin","0901129910","2009-2013","Private, Not-for-profit","Percent","Margins of Error",2.6
"Franklin","0901129910","2010-2014","Total","Number","Employment",1041
"Franklin","0901129910","2010-2014","Total","Number","Margins of Error",83
"Franklin","0901129910","2010-2014","Self-Employed, Incorporated","Percent","Employment",4.1
"Franklin","0901129910","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",1.8
"Franklin","0901129910","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",7.9
"Franklin","0901129910","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",2.5
"Franklin","0901129910","2010-2014","Government","Percent","Employment",20.7
"Franklin","0901129910","2010-2014","Government","Percent","Margins of Error",3.4
"Franklin","0901129910","2010-2014","Private, Profit","Percent","Employment",59.8
"Franklin","0901129910","2010-2014","Private, Profit","Percent","Margins of Error",4.6
"Franklin","0901129910","2010-2014","Private, Not-for-profit","Percent","Employment",7.5
"Franklin","0901129910","2010-2014","Private, Not-for-profit","Percent","Margins of Error",2.8
"Franklin","0901129910","2011-2015","Total","Number","Employment",1023
"Franklin","0901129910","2011-2015","Total","Number","Margins of Error",68
"Franklin","0901129910","2011-2015","Self-Employed, Incorporated","Percent","Employment",3.8
"Franklin","0901129910","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",1.8
"Franklin","0901129910","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",5.8
"Franklin","0901129910","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",2.4
"Franklin","0901129910","2011-2015","Government","Percent","Employment",18.6
"Franklin","0901129910","2011-2015","Government","Percent","Margins of Error",4.2
"Franklin","0901129910","2011-2015","Private, Profit","Percent","Employment",63
"Franklin","0901129910","2011-2015","Private, Profit","Percent","Margins of Error",4.8
"Franklin","0901129910","2011-2015","Private, Not-for-profit","Percent","Employment",8.8
"Franklin","0901129910","2011-2015","Private, Not-for-profit","Percent","Margins of Error",2.6
"Franklin","0901129910","2012-2016","Total","Number","Employment",1049
"Franklin","0901129910","2012-2016","Total","Number","Margins of Error",76
"Franklin","0901129910","2012-2016","Self-Employed, Incorporated","Percent","Employment",4.5
"Franklin","0901129910","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",2
"Franklin","0901129910","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",6.9
"Franklin","0901129910","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",2
"Franklin","0901129910","2012-2016","Government","Percent","Employment",16.9
"Franklin","0901129910","2012-2016","Government","Percent","Margins of Error",3.5
"Franklin","0901129910","2012-2016","Private, Profit","Percent","Employment",64.3
"Franklin","0901129910","2012-2016","Private, Profit","Percent","Margins of Error",4
"Franklin","0901129910","2012-2016","Private, Not-for-profit","Percent","Employment",7.4
"Franklin","0901129910","2012-2016","Private, Not-for-profit","Percent","Margins of Error",2.3
"Glastonbury","0900331240","2006-2010","Total","Number","Employment",17466
"Glastonbury","0900331240","2006-2010","Total","Number","Margins of Error",492
"Glastonbury","0900331240","2006-2010","Self-Employed, Incorporated","Percent","Employment",6
"Glastonbury","0900331240","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",1.3
"Glastonbury","0900331240","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",7.3
"Glastonbury","0900331240","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",1.3
"Glastonbury","0900331240","2006-2010","Government","Percent","Employment",15
"Glastonbury","0900331240","2006-2010","Government","Percent","Margins of Error",1.4
"Glastonbury","0900331240","2006-2010","Private, Profit","Percent","Employment",65.2
"Glastonbury","0900331240","2006-2010","Private, Profit","Percent","Margins of Error",2.4
"Glastonbury","0900331240","2006-2010","Private, Not-for-profit","Percent","Employment",6.5
"Glastonbury","0900331240","2006-2010","Private, Not-for-profit","Percent","Margins of Error",1.2
"Glastonbury","0900331240","2007-2011","Total","Number","Employment",17430
"Glastonbury","0900331240","2007-2011","Total","Number","Margins of Error",464
"Glastonbury","0900331240","2007-2011","Self-Employed, Incorporated","Percent","Employment",5
"Glastonbury","0900331240","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",1.2
"Glastonbury","0900331240","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",8.1
"Glastonbury","0900331240","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",1.4
"Glastonbury","0900331240","2007-2011","Government","Percent","Employment",14.8
"Glastonbury","0900331240","2007-2011","Government","Percent","Margins of Error",1.7
"Glastonbury","0900331240","2007-2011","Private, Profit","Percent","Employment",64.8
"Glastonbury","0900331240","2007-2011","Private, Profit","Percent","Margins of Error",2.4
"Glastonbury","0900331240","2007-2011","Private, Not-for-profit","Percent","Employment",7.4
"Glastonbury","0900331240","2007-2011","Private, Not-for-profit","Percent","Margins of Error",1.3
"Glastonbury","0900331240","2008-2012","Total","Number","Employment",17638
"Glastonbury","0900331240","2008-2012","Total","Number","Margins of Error",491
"Glastonbury","0900331240","2008-2012","Self-Employed, Incorporated","Percent","Employment",5
"Glastonbury","0900331240","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",1.1
"Glastonbury","0900331240","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",8.2
"Glastonbury","0900331240","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",1.3
"Glastonbury","0900331240","2008-2012","Government","Percent","Employment",14.9
"Glastonbury","0900331240","2008-2012","Government","Percent","Margins of Error",2.1
"Glastonbury","0900331240","2008-2012","Private, Profit","Percent","Employment",64.2
"Glastonbury","0900331240","2008-2012","Private, Profit","Percent","Margins of Error",3
"Glastonbury","0900331240","2008-2012","Private, Not-for-profit","Percent","Employment",7.7
"Glastonbury","0900331240","2008-2012","Private, Not-for-profit","Percent","Margins of Error",1.5
"Glastonbury","0900331240","2009-2013","Total","Number","Employment",17612
"Glastonbury","0900331240","2009-2013","Total","Number","Margins of Error",468
"Glastonbury","0900331240","2009-2013","Self-Employed, Incorporated","Percent","Employment",4.8
"Glastonbury","0900331240","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",0.9
"Glastonbury","0900331240","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",8.7
"Glastonbury","0900331240","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",1.3
"Glastonbury","0900331240","2009-2013","Government","Percent","Employment",16.2
"Glastonbury","0900331240","2009-2013","Government","Percent","Margins of Error",1.9
"Glastonbury","0900331240","2009-2013","Private, Profit","Percent","Employment",62.7
"Glastonbury","0900331240","2009-2013","Private, Profit","Percent","Margins of Error",2.7
"Glastonbury","0900331240","2009-2013","Private, Not-for-profit","Percent","Employment",7.6
"Glastonbury","0900331240","2009-2013","Private, Not-for-profit","Percent","Margins of Error",1.6
"Glastonbury","0900331240","2010-2014","Total","Number","Employment",17563
"Glastonbury","0900331240","2010-2014","Total","Number","Margins of Error",473
"Glastonbury","0900331240","2010-2014","Self-Employed, Incorporated","Percent","Employment",4.9
"Glastonbury","0900331240","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",1.1
"Glastonbury","0900331240","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",8.5
"Glastonbury","0900331240","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",1.5
"Glastonbury","0900331240","2010-2014","Government","Percent","Employment",15.6
"Glastonbury","0900331240","2010-2014","Government","Percent","Margins of Error",1.6
"Glastonbury","0900331240","2010-2014","Private, Profit","Percent","Employment",62.7
"Glastonbury","0900331240","2010-2014","Private, Profit","Percent","Margins of Error",2.6
"Glastonbury","0900331240","2010-2014","Private, Not-for-profit","Percent","Employment",8.3
"Glastonbury","0900331240","2010-2014","Private, Not-for-profit","Percent","Margins of Error",1.6
"Glastonbury","0900331240","2011-2015","Total","Number","Employment",17681
"Glastonbury","0900331240","2011-2015","Total","Number","Margins of Error",462
"Glastonbury","0900331240","2011-2015","Self-Employed, Incorporated","Percent","Employment",4.9
"Glastonbury","0900331240","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",1
"Glastonbury","0900331240","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",8.4
"Glastonbury","0900331240","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",1.6
"Glastonbury","0900331240","2011-2015","Government","Percent","Employment",15.2
"Glastonbury","0900331240","2011-2015","Government","Percent","Margins of Error",1.9
"Glastonbury","0900331240","2011-2015","Private, Profit","Percent","Employment",63.2
"Glastonbury","0900331240","2011-2015","Private, Profit","Percent","Margins of Error",2.8
"Glastonbury","0900331240","2011-2015","Private, Not-for-profit","Percent","Employment",8.2
"Glastonbury","0900331240","2011-2015","Private, Not-for-profit","Percent","Margins of Error",1.5
"Glastonbury","0900331240","2012-2016","Total","Number","Employment",17701
"Glastonbury","0900331240","2012-2016","Total","Number","Margins of Error",436
"Glastonbury","0900331240","2012-2016","Self-Employed, Incorporated","Percent","Employment",5.5
"Glastonbury","0900331240","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",1.2
"Glastonbury","0900331240","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",7.8
"Glastonbury","0900331240","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",1.2
"Glastonbury","0900331240","2012-2016","Government","Percent","Employment",14.8
"Glastonbury","0900331240","2012-2016","Government","Percent","Margins of Error",1.6
"Glastonbury","0900331240","2012-2016","Private, Profit","Percent","Employment",63.7
"Glastonbury","0900331240","2012-2016","Private, Profit","Percent","Margins of Error",2.3
"Glastonbury","0900331240","2012-2016","Private, Not-for-profit","Percent","Employment",8.2
"Glastonbury","0900331240","2012-2016","Private, Not-for-profit","Percent","Margins of Error",1.4
